mass_isotope,intensity_std_error,ms_id,experiment_id,met_id,labelled_atom_ids,unlabelled_atoms,measurement_replicate,time,intensity
0,0.003,Asparticacid302,inst2,ASP,"[1, 2]",C12H32O2NSi2,1,0.1,0.7205480669409186
0,0.003,Asparticacid390,inst2,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.6408037083841107
0,0.003,Asparticacid418,inst2,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,1,0.1,0.6323388033736443
0,0.003,Glutamicacid330,inst2,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,1,0.1,0.7046056194789038
0,0.003,Glutamicacid432,inst2,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,1,0.1,0.6253042859496087
0,0.003,Histidine338,inst2,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,1,0.1,0.5865429808040309
0,0.003,Histidine440,inst2,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,1,0.1,0.5203286654115065
1,0.003,Alanine232,inst2,ALA,"[2, 3]",C8H26ONSi2,1,0.1,0.18489865754482532
1,0.003,Alanine260,inst2,ALA,"[1, 2, 3]",C8H26O2NSi2,1,0.1,0.17129220184217248
1,0.003,Glycine218,inst2,GL,[2],C8H24ONSi2,1,0.1,0.23262872378436192
1,0.003,Glycine246,inst2,GL,"[1, 2]",C8H24O2NSi2,1,0.1,0.17639126157676205
1,0.003,Valine260,inst2,VAL,"[2, 3, 4, 5]",C8H30ONSi2,1,0.1,0.17844566387079436
1,0.003,Valine288,inst2,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,1,0.1,0.18433328468909566
1,0.003,Leucine274,inst2,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.18467251531443724
1,0.003,Isoleucine274,inst2,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,1,0.1,0.18467251552369035
1,0.003,Methionine320,inst2,MET,"[2, 3, 4, 5]",C6H24NSiS,1,0.1,0.13694883572186017
1,0.003,Serine362,inst2,SER,"[2, 3]",C14H40O2NSi3,1,0.1,0.19147385960246677
1,0.003,Serine390,inst2,SER,"[1, 2, 3]",C14H40O3NSi3,1,0.1,0.19736300385167352
1,0.003,Threonine376,inst2,THR,"[2, 3, 4]",C14H42O2NSi3,1,0.1,0.2243980537055167
1,0.003,Threonine404,inst2,THR,"[1, 2, 3, 4]",C14H42O3NSi3,1,0.1,0.228603945925955
1,0.003,Phenylalanine302,inst2,PHE,"[1, 2]",C12H32O2NSi2,1,0.1,0.1903861599725868
1,0.003,Phenylalanine308,inst2,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,1,0.1,0.2017708118266871
1,0.003,Phenylalanine336,inst2,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,1,0.1,0.20699935151589025
1,0.003,Asparticacid302,inst2,ASP,"[1, 2]",C12H32O2NSi2,1,0.1,0.19038615996008262
1,0.003,Asparticacid390,inst2,ASP,"[2, 3, 4]",C14H40O3NSi3,1,0.1,0.22396900369612607
